N°,Año,Título,Protagonistas,Director,Género,Ub
37,2010,ENCUENTRO EXPLOSIVO,Tom Cruise,,"Acción, Comedia",7
33,2001,ENEMIGO A LAS PUERTAS,RACHEL WEISZ,,DRAMA DE GUERRA,1
34,,ENEMIGOS PUBLICOS,JOHNNY DEPP,,ACCION MAFFIA,13
21,,ENIGMA,VAL KILMER,,"DRAMA, TERROR",16
7,,ENTRE LOBOS,JUAN JOSE BALLESTA,,DRAMA REAL,9
28,1994,ENTREVISTA CON EL VAMPIRO,BRAD PITT,,"TERROR, SUSPENSO",6
15,2002,EQUILIBRIUM ,CHRISTIAN BALE,,"Accion, Aventura, Ciencia F.",5
12,,ESENCIA DE MUJER,AL PACINO,,DRAMA,13
1,2012,ESPEJITO ESPEJITO,JULIA ROBERTS,TARSEM SINGH,"Comedia, Susp",8
1,,ESTO ES GUERRA,REESE WITHERSPON,,COMEDIA,16
30,2011,EVA,DANIEL BRüHL,,"SUSPENSO, DRAMA, FICCIÓN",6
7,,EVITA,MADONNA-BANDERAS,,MUSICAL,13
18,2011,FACES IN THE CROW,MILLA JOJOVICH,,"MISTERIO, SUSPENSO",2
27,2007,FALLEN,PAUL WESLEY,,"Ciencia F. Aventura, Drama",5
32,1940,FANTASIA DISNEY,,,"Animada, aventura, fam",4
27,,FIJACION ORAL,SHAKIRA,,CONCIERTO MUSICAL,11
17,,FLAGS OF OUR FATHERS,,,,16
32,,FLASH: LA PARADOJA DEL TIEMPO,,,ANIMADA,16
26,2012,FLECHA TORCIDA,CHRISTAL ALLENCHELSEA,,COMEDIA ACCION DEPORTE,12
31,1986,FORREST GUMP,TOM HANKS,,"DRAMA, COMEDIA",1
14,,FRANKENSTEIN,ROBERT DE NIRO,,TERROR FICCIÓN,13
32,,FRANKENWEENIE,TIM BURTON,,SUSPENSO ANIMADA,9
40,,FRIGHT NIGHT,COLLIN FARRELL,,VAMPIROS,9
2,1995,FUEGO CONTRA FUEGO,DE NIRO-PACINO,,THRILLER POLICIAL,1
32,,FUERA DE AFRICA,REDFORD - STREEP,,ROMANCE,13
15,2013,FUERZA ANTI GANSTER,SEAN PEN Y OTROS,RUBEN FLEISCHER,THILLER MAFIA ,15
35,2010,FURIA DE TITANES ,Sam Worthington,,"Ciencia F. Aventura, Drama",5
36,2012,FURIA DE TITANES  II,Sam Worthington,,"Ciencia F. Aventura, Drama",5
3,2009,GAMER,Gerard Butler,,"Accion, Ficcion",7
31,2007,GANSTER AMERICANO,DENZEL- RUSELL,RIDLEY SCOTT (D),"Accion, Drama. Familia",8
11,,GHOST,PATRICK SWAYZE,,DRAMA FICCIÓN,13
26,1997,GIA,ANGELINA JOLIE,,"DRAMA, BIOGRAFIA",2
30,2011,GIGANTES DE ACERO,HOG JACKMAN,,"Ciencia F. Aventura, Drama",5
32,2011,GLEE 3D,LEA MICHELLE,KEVIN TANCHAROREN,MUSICAL,14
40,,GRAN CASINO,MIGUEL A. SILVESTRE,,"COMEDIA, INTRIGA",16
40,,GRANDES ESPERANZAS,,,"DRAMA, AMOR",16
30,2010,GRANDES MIGRACIONES 1 Y 2,NATIONAL GEOGRAPHIC,NATIONAL GEOGRAPHIC,DOCUMENTAL,14
16,1990,GREMLINS 2,,,"Animada, aventura, fam",4
4,2006,GUARDIANES DE ALTA MAR,Kevin Kostner,,"ACCIÓN, DRAMA",6
